DELAY	TYPE	R1	T1	R2	T2
3	3	9.7	322	11.4	322
0	3	9.7	138	11.4	138
0	2	8	148	8	160
0	3	9.7	41	11.4	41
0	3	9.7	213	11.4	213
0	0	8	228	-1	-1
0	4	11.4	137	9.7	137
3	2	8	45	8	61
0	4	9.7	141	8	141
0	3	8	48	11.4	48
0	3	8	213	9.7	213
0	1	11.4	46	11.4	30
3	3	9.7	121	11.4	121
3	2	11.4	49	11.4	65
0	2	8	56	8	64
3	3	8	228	9.7	228
3	1	8	317	8	309
3	0	8	301	-1	-1
0	2	8	59	8	71
0	2	8	221	8	237
0	1	11.4	313	11.4	297
0	0	11.4	139	-1	-1
0	0	9.7	146	-1	-1
0	0	11.4	54	-1	-1
0	4	9.7	48	8	48
3	0	11.4	148	-1	-1
3	2	11.4	317	11.4	325
3	4	11.4	122	9.7	122
0	2	8	128	8	136
0	1	11.4	46	11.4	38
3	0	11.4	318	-1	-1
3	3	8	311	11.4	311
3	1	8	228	8	216
0	3	8	148	11.4	148
0	0	8	48	-1	-1
0	4	9.7	216	8	216
3	2	8	323	8	339
3	1	11.4	304	11.4	292
0	4	11.4	228	9.7	228
0	3	8	300	9.7	300
