DELAY	TYPE	R1	T1	R2	T2
0	1	8	218	8	206
3	4	11.4	321	9.7	321
0	4	11.4	144	8	144
3	2	8	122	8	134
0	2	11.4	52	11.4	64
3	4	11.4	54	9.7	54
0	0	11.4	231	-1	-1
0	2	11.4	148	11.4	156
0	1	8	327	8	319
0	0	8	141	-1	-1
3	1	8	50	8	42
3	2	11.4	230	11.4	246
0	1	8	315	8	299
3	0	8	47	-1	-1
0	4	11.4	323	8	323
3	1	11.4	123	11.4	111
0	2	11.4	327	11.4	339
0	1	11.4	140	11.4	128
3	1	8	227	8	219
0	4	11.4	219	8	219
3	3	8	322	9.7	322
3	0	11.4	211	-1	-1
3	4	9.7	123	8	123
3	2	11.4	125	11.4	141
3	0	8	145	-1	-1
3	4	11.4	38	8	38
3	3	9.7	33	11.4	33
3	3	8	39	11.4	39
0	1	8	44	8	28
0	1	11.4	233	11.4	217
0	4	9.7	309	8	309
0	0	8	305	-1	-1
0	3	9.7	328	11.4	328
3	4	11.4	326	8	326
3	1	11.4	51	11.4	39
0	1	8	225	8	217
3	1	8	141	8	133
3	4	9.7	309	8	309
3	3	8	141	11.4	141
3	0	11.4	31	-1	-1
