ring2	ring1	delay	angle1	angle2	type	RT	ts_r	fixated	choiceAngle	ts_p	choiceR	ts_b	MT	ts_f	ts_d	ts_e	choice_x	choice_y
9.70	11.40	0.00	308.00	308.00	4.00	0.00	1444036993.46	1.00	0.90	1444036992.40	0.35	1444036981.10	2.98	1444036991.38	1444036993.43	1444036996.45	-0.07	0.39
8.00	9.70	3.00	218.00	218.00	4.00	0.00	1444037004.39	1.00	-12.22	1444037000.33	0.10	1444036996.46	3.05	1444036999.31	1444037001.33	1444037007.44	-1.37	1.56
8.00	11.40	0.00	46.00	46.00	4.00	0.00	1444037011.91	1.00	5.99	1444037010.84	-0.69	1444037007.46	3.17	1444037009.81	1444037011.87	1444037015.07	-0.28	1.32
-1.00	9.70	0.00	224.00	-1.00	0.00	0.00	1444037019.99	1.00	-6.38	1444037018.92	-0.65	1444037015.09	3.45	1444037017.89	1444037019.95	1444037023.44	-1.21	0.23
11.40	11.40	3.00	40.00	32.00	1.00	0.00	1444037030.75	1.00	7.73	1444037026.65	-2.56	1444037023.45	3.28	1444037025.64	1444037027.69	1444037034.03	1.26	2.61
-1.00	9.70	3.00	40.00	-1.00	0.00	0.00	1444037041.23	1.00	5.57	1444037037.12	-0.32	1444037034.05	3.39	1444037036.10	1444037038.15	1444037044.62	-0.30	0.93
11.40	11.40	0.00	125.00	109.00	1.00	0.00	1444037049.03	1.00	-4.08	1444037047.96	-1.36	1444037044.63	3.93	1444037046.95	1444037048.99	1444037052.96	-0.21	1.55
8.00	8.00	3.00	55.00	67.00	2.00	0.00	1444037059.79	1.00	11.08	1444037055.69	0.79	1444037052.97	2.55	1444037054.68	1444037056.73	1444037062.34	-1.74	0.46
9.70	8.00	0.00	52.00	52.00	3.00	0.00	1444037067.57	1.00	6.24	1444037066.49	-0.23	1444037062.35	2.87	1444037065.47	1444037067.52	1444037070.44	-0.49	0.74
11.40	11.40	3.00	234.00	226.00	1.00	0.00	1444037078.65	1.00	-2.01	1444037074.59	-0.45	1444037070.45	3.68	1444037073.57	1444037075.62	1444037082.33	-0.58	-0.14
11.40	9.70	3.00	230.00	230.00	3.00	0.00	1444037089.35	1.00	-9.71	1444037085.25	-0.23	1444037082.35	3.10	1444037084.23	1444037086.28	1444037092.45	-1.46	0.74
11.40	11.40	3.00	324.00	340.00	2.00	0.00	1444037099.13	1.00	23.17	1444037095.06	-0.48	1444037092.46	3.98	1444037094.05	1444037096.06	1444037103.11	3.63	2.67
-1.00	11.40	0.00	310.00	-1.00	0.00	0.00	1444037106.86	1.00	1.76	1444037105.79	-0.14	1444037103.12	2.65	1444037104.78	1444037106.83	1444037109.51	0.36	0.11
9.70	8.00	3.00	30.00	30.00	3.00	0.00	1444037117.06	1.00	18.73	1444037112.96	-0.05	1444037109.52	2.42	1444037111.94	1444037113.99	1444037119.47	-0.86	2.45
11.40	8.00	3.00	236.00	236.00	3.00	0.00	1444037127.14	1.00	-10.97	1444037123.02	-1.63	1444037119.48	2.97	1444037122.00	1444037124.05	1444037130.10	-1.98	-0.77
-1.00	8.00	3.00	225.00	-1.00	0.00	0.00	1444037136.80	1.00	-14.04	1444037132.73	-1.34	1444037130.12	2.52	1444037131.72	1444037133.73	1444037139.31	-2.23	0.06
8.00	11.40	3.00	232.00	232.00	4.00	0.00	1444037146.78	1.00	-5.82	1444037142.71	-1.22	1444037139.33	3.35	1444037141.68	1444037143.71	1444037150.13	-1.60	-0.37
11.40	11.40	0.00	228.00	240.00	2.00	0.00	1444037154.04	1.00	1.30	1444037153.01	-0.93	1444037150.15	2.75	1444037151.99	1444037154.01	1444037156.79	-0.45	-0.85
11.40	11.40	3.00	234.00	246.00	2.00	0.00	1444037163.87	1.00	3.28	1444037159.77	-0.80	1444037156.81	2.90	1444037158.76	1444037160.81	1444037166.77	0.01	-1.02
11.40	11.40	0.00	300.00	308.00	2.00	0.00	1444037170.96	1.00	8.73	1444037169.92	-0.18	1444037166.79	3.16	1444037168.91	1444037170.92	1444037174.12	1.63	0.59
