ring2	ring1	delay	angle1	angle2	type	RT	ts_r	fixated	choiceAngle	ts_p	choiceR	ts_b	MT	ts_f	ts_d	ts_e	choice_x	choice_y
-1.00	9.70	3.00	148.00	-1.00	0.00	0.00	1444037181.38	1.00	2.62	1444037177.29	-1.19	1444037174.13	2.73	1444037176.27	1444037178.32	1444037184.12	-1.22	0.31
9.70	11.40	3.00	229.00	229.00	4.00	0.00	1444037190.90	1.00	4.23	1444037186.80	-1.21	1444037184.13	3.03	1444037185.78	1444037187.83	1444037193.93	-0.24	-1.43
11.40	8.00	0.00	312.00	312.00	3.00	0.00	1444037197.83	1.00	2.73	1444037196.75	-0.73	1444037193.95	2.77	1444037195.73	1444037197.78	1444037200.59	0.75	-0.32
8.00	8.00	3.00	307.00	295.00	1.00	0.00	1444037207.28	1.00	-5.19	1444037203.18	0.03	1444037200.61	3.15	1444037202.14	1444037204.21	1444037210.42	-0.58	-0.44
-1.00	9.70	3.00	325.00	-1.00	0.00	0.00	1444037217.12	1.00	-1.05	1444037213.03	-0.62	1444037210.44	2.30	1444037212.01	1444037214.06	1444037219.42	0.42	-0.50
-1.00	9.70	0.00	324.00	-1.00	0.00	0.00	1444037223.25	1.00	-1.09	1444037222.19	-1.66	1444037219.44	2.10	1444037221.17	1444037223.22	1444037225.35	1.26	-1.10
9.70	8.00	3.00	136.00	136.00	3.00	0.00	1444037232.22	1.00	-5.30	1444037228.15	-1.39	1444037225.37	2.30	1444037227.14	1444037229.15	1444037234.52	-0.60	1.43
-1.00	9.70	0.00	45.00	-1.00	0.00	0.00	1444037238.05	1.00	5.19	1444037236.96	-2.38	1444037234.53	3.65	1444037235.93	1444037238.00	1444037241.70	1.23	2.17
8.00	11.40	3.00	139.00	139.00	4.00	0.00	1444037250.43	1.00	1.19	1444037246.31	0.42	1444037241.71	2.87	1444037245.30	1444037247.35	1444037253.30	0.16	-0.46
11.40	11.40	0.00	228.00	236.00	2.00	0.00	1444037257.24	1.00	1.98	1444037256.20	-0.94	1444037253.31	3.50	1444037255.18	1444037257.21	1444037260.74	-0.36	-0.94
8.00	9.70	3.00	34.00	34.00	4.00	0.00	1444037267.59	1.00	0.46	1444037263.51	-0.10	1444037260.76	2.95	1444037262.47	1444037264.55	1444037270.54	0.04	0.12
9.70	8.00	0.00	132.00	132.00	3.00	0.00	1444037274.73	1.00	-5.36	1444037273.67	-0.95	1444037270.56	2.78	1444037272.66	1444037274.67	1444037277.51	-0.17	1.17
-1.00	9.70	3.00	210.00	-1.00	0.00	0.00	1444037284.22	1.00	-6.23	1444037280.15	-1.82	1444037277.53	2.20	1444037279.15	1444037281.16	1444037286.42	-2.04	-0.19
11.40	11.40	3.00	149.00	157.00	2.00	0.00	1444037293.18	1.00	-4.26	1444037289.09	-2.61	1444037286.43	2.83	1444037288.05	1444037290.12	1444037296.01	-1.92	1.92
8.00	8.00	0.00	125.00	109.00	1.00	0.00	1444037300.30	1.00	-6.23	1444037299.25	-0.44	1444037296.03	2.24	1444037298.21	1444037300.25	1444037302.55	0.39	0.87
8.00	8.00	0.00	328.00	340.00	2.00	0.00	1444037306.54	1.00	5.54	1444037305.51	-1.46	1444037302.56	2.52	1444037304.50	1444037306.51	1444037309.06	1.60	-0.25
9.70	11.40	0.00	56.00	56.00	4.00	0.00	1444037312.41	1.00	7.87	1444037311.38	-1.92	1444037309.08	3.20	1444037310.35	1444037312.38	1444037315.61	0.05	2.39
8.00	8.00	3.00	139.00	123.00	1.00	0.00	1444037322.65	1.00	2.43	1444037318.55	-0.46	1444037315.62	2.49	1444037317.51	1444037319.58	1444037325.14	-0.56	0.06
11.40	8.00	0.00	217.00	217.00	3.00	0.00	1444037328.47	1.00	1.40	1444037327.40	-1.41	1444037325.16	3.38	1444037326.39	1444037328.44	1444037331.85	-1.03	-0.98
8.00	8.00	3.00	221.00	237.00	2.00	nan	nan	0.00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
